Word,Count
for,283
table,279
Indexes,82
AUTO_INCREMENT,80
Table,80
structure,80
--------------------------------------------------------,80
Dumping,41
data,41
,14
!40101,14
SET,14
`ecommerce_yith_wcwl_lists`,8
`ecommerce_comments`,8
`ecommerce_usermeta`,8
`ecommerce_options`,8
`ecommerce_commentmeta`,8
`ecommerce_revslider_sliders`,8
`ecommerce_revslider_navigations`,8
`ecommerce_postmeta`,8
`ecommerce_terms`,8
`ecommerce_termmeta`,8
`ecommerce_posts`,8
`ecommerce_users`,8
`ecommerce_revslider_slides`,8
`ecommerce_eg_navigation_skins`,8
`ecommerce_revslider_css`,8
`ecommerce_term_taxonomy`,8
`ecommerce_eg_item_skins`,8
`ecommerce_woocommerce_sessions`,8
`ecommerce_woocommerce_order_items`,7
`ecommerce_woocommerce_order_itemmeta`,7
`ecommerce_woocommerce_attribute_taxonomies`,7
`ecommerce_wc_webhooks`,6
`ecommerce_revslider_static_slides`,6
`ecommerce_eg_item_elements`,6
`ecommerce_wc_download_log`,6
`ecommerce_woocommerce_log`,6
`ecommerce_woocommerce_shipping_zone_methods`,6
`ecommerce_eg_grids`,6
`ecommerce_yith_wcwl`,6
`ecommerce_woocommerce_shipping_zone_locations`,6
`ecommerce_revslider_layer_animations`,6
`ecommerce_woocommerce_downloadable_product_permissions`,6
`ecommerce_links`,6
`ecommerce_term_relationships`,6
`ecommerce_woocommerce_tax_rate_locations`,6
`ecommerce_woocommerce_tax_rates`,6
`ecommerce_woocommerce_shipping_zones`,6
`ecommerce_woocommerce_api_keys`,6
`ecommerce_woocommerce_payment_tokenmeta`,6
`ecommerce_woocommerce_payment_tokens`,6
dumped,4
tables,4
@OLD_CHARACTER_SET_CLIENT=@@CHARACTER_SET_CLIENT,2
`teranex_new`,2
Version:,2
2018,2
PHP,2
4.7.4,2
10.1.30-MariaDB,2
@OLD_COLLATION_CONNECTION=@@COLLATION_CONNECTION,2
SQL,2
CHARACTER_SET_RESULTS=@OLD_CHARACTER_SET_RESULTS,2
CHARACTER_SET_CLIENT=@OLD_CHARACTER_SET_CLIENT,2
AM,2
Database:,2
version,2
Time:,2
Host:,2
Generation,2
version:,2
https://www.phpmyadmin.net/,2
COLLATION_CONNECTION=@OLD_COLLATION_CONNECTION,2
@OLD_CHARACTER_SET_RESULTS=@@CHARACTER_SET_RESULTS,2
Server,2
Apr,2
7.2.1,2
127.0.0.1,2
at,2
phpMyAdmin,2
utf8mb4,2
NAMES,2
Dump,2
\16,\,1
11:55,1
\24,\,1
06:37,1
