File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\server.js,30,11,13,0,6,0,13,16,4,6
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\accepts\index.js,239,85,21,28,35,0,119,412,6,18
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\bin\run_test262.js,20,17,4,0,3,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\bin\_acorn.js,70,63,55,6,7,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,5306,4113,2526,941,613,169,580,4255,1,9
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.js,5337,4140,2553,941,616,168,581,4255,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn_loose.es.js,1413,231,179,56,40,4,1142,3841,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn_loose.js,1423,235,182,56,40,4,1148,3851,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\walk.es.js,420,341,295,69,39,0,40,315,16,98
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\walk.js,440,358,313,69,42,0,40,315,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\index.js,4,2,2,0,2,0,0,0,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\inject.js,434,345,279,91,66,9,23,194,0,0
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn-jsx\xhtml.js,256,255,2,0,1,0,0,0,0,0
