File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\accepts\index.js,Accepts(req),7,6,2,2,1,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\accepts\index.js,function(types_),28,20,5,8,5,0,3,16,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\accepts\index.js,function(encodings_),17,12,4,5,3,0,2,9,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\accepts\index.js,function(charsets_),17,12,4,5,3,0,2,9,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\accepts\index.js,function(languages_),17,12,4,5,3,0,2,9,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\accepts\index.js,extToMime(type),4,4,1,2,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\accepts\index.js,validMime(type),2,2,1,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\bin\_acorn.js,help(status),5,5,5,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\bin\_acorn.js,run(code),18,18,15,2,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"isInAstralSet(code, set)",8,8,7,3,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"isIdentifierStart(code, astral)",8,8,7,7,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"isIdentifierChar(code, astral)",10,10,9,9,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"TokenType(label, conf)",13,12,13,1,1,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"binop(name, prec)",2,2,2,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"kw(name, options)",5,4,4,2,1,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,isNewLine(code),2,2,1,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"has(obj, propName)",2,2,1,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,offset(n),2,2,1,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"SourceLocation(p, start, end)",4,4,4,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"getLineInfo(input, offset)",11,11,8,3,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,getOptions(opts),20,15,11,6,5,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"pushComment(options, array)",14,14,7,3,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,keywordRegexp(words),2,2,1,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"Parser(options, input, startPos)",81,44,41,5,13,0,24,169,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,isKeyword(word),1,1,1,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,isReservedWord(word),1,1,1,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"extend(name, f)",2,2,2,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,loadPlugins(pluginConfigs),8,7,6,2,1,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,parse(),4,4,3,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(type),7,7,4,3,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(name),2,2,1,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(name),4,4,3,2,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(name),2,2,2,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(),4,4,1,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(),6,6,3,3,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(),2,2,2,1,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(tokType, notNext)",8,8,4,4,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(type),2,2,2,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(pos),2,2,2,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,DestructuringErrors(),7,7,2,0,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(refDestructuringErrors, isAssign)",6,6,5,3,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(refDestructuringErrors, andThrow)",9,9,7,4,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(),5,5,3,2,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(expr),4,4,2,2,0,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(node),15,14,12,4,1,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(),13,13,11,6,0,1,0,3,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,function(),10,9,5,2,1,0,0,0,
\\192.168.0.108\htdocs\teranex\themes\site\tokbox\node_modules\acorn\dist\acorn.es.js,"function(declaration, topLevel, exports)",63,50,19,16,5,0,8,72,
